location,location_abbreviation,year,week,epiweek,value
01,AL,2020,04,202004,0
02,AK,2020,04,202004,0
04,AZ,2020,04,202004,0
05,AR,2020,04,202004,0
06,CA,2020,04,202004,0
08,CO,2020,04,202004,0
09,CT,2020,04,202004,0
10,DE,2020,04,202004,0
11,DC,2020,04,202004,0
12,FL,2020,04,202004,0
13,GA,2020,04,202004,0
66,GU,2020,04,202004,0
15,HI,2020,04,202004,0
16,ID,2020,04,202004,0
17,IL,2020,04,202004,0
18,IN,2020,04,202004,0
19,IA,2020,04,202004,0
20,KS,2020,04,202004,0
21,KY,2020,04,202004,0
22,LA,2020,04,202004,0
23,ME,2020,04,202004,0
24,MD,2020,04,202004,0
25,MA,2020,04,202004,0
26,MI,2020,04,202004,0
27,MN,2020,04,202004,0
28,MS,2020,04,202004,0
29,MO,2020,04,202004,0
30,MT,2020,04,202004,0
31,NE,2020,04,202004,0
32,NV,2020,04,202004,0
33,NH,2020,04,202004,0
34,NJ,2020,04,202004,0
35,NM,2020,04,202004,0
36,NY,2020,04,202004,0
37,NC,2020,04,202004,0
38,ND,2020,04,202004,0
69,MP,2020,04,202004,0
39,OH,2020,04,202004,0
40,OK,2020,04,202004,0
41,OR,2020,04,202004,0
42,PA,2020,04,202004,0
72,PR,2020,04,202004,0
44,RI,2020,04,202004,0
45,SC,2020,04,202004,0
46,SD,2020,04,202004,0
47,TN,2020,04,202004,0
48,TX,2020,04,202004,0
49,UT,2020,04,202004,0
50,VT,2020,04,202004,0
78,VI,2020,04,202004,0
51,VA,2020,04,202004,0
53,WA,2020,04,202004,0
54,WV,2020,04,202004,0
55,WI,2020,04,202004,0
56,WY,2020,04,202004,0
01,AL,2020,05,202005,0
02,AK,2020,05,202005,0
04,AZ,2020,05,202005,0
05,AR,2020,05,202005,0
06,CA,2020,05,202005,0
08,CO,2020,05,202005,0
09,CT,2020,05,202005,0
10,DE,2020,05,202005,0
11,DC,2020,05,202005,0
12,FL,2020,05,202005,0
13,GA,2020,05,202005,0
66,GU,2020,05,202005,0
15,HI,2020,05,202005,0
16,ID,2020,05,202005,0
17,IL,2020,05,202005,0
18,IN,2020,05,202005,0
19,IA,2020,05,202005,0
20,KS,2020,05,202005,0
21,KY,2020,05,202005,0
22,LA,2020,05,202005,0
23,ME,2020,05,202005,0
24,MD,2020,05,202005,0
25,MA,2020,05,202005,0
26,MI,2020,05,202005,0
27,MN,2020,05,202005,0
28,MS,2020,05,202005,0
29,MO,2020,05,202005,0
30,MT,2020,05,202005,0
31,NE,2020,05,202005,0
32,NV,2020,05,202005,0
33,NH,2020,05,202005,0
34,NJ,2020,05,202005,0
35,NM,2020,05,202005,0
36,NY,2020,05,202005,0
37,NC,2020,05,202005,0
38,ND,2020,05,202005,0
69,MP,2020,05,202005,0
39,OH,2020,05,202005,0
40,OK,2020,05,202005,0
41,OR,2020,05,202005,0
42,PA,2020,05,202005,0
72,PR,2020,05,202005,0
44,RI,2020,05,202005,0
45,SC,2020,05,202005,0
46,SD,2020,05,202005,0
47,TN,2020,05,202005,0
48,TX,2020,05,202005,0
49,UT,2020,05,202005,0
50,VT,2020,05,202005,0
78,VI,2020,05,202005,0
51,VA,2020,05,202005,0
53,WA,2020,05,202005,0
54,WV,2020,05,202005,0
55,WI,2020,05,202005,0
56,WY,2020,05,202005,0
01,AL,2020,06,202006,0
02,AK,2020,06,202006,0
04,AZ,2020,06,202006,0
