"","model","location_name","exclude"
"1","Covid19Sim-Simulator","Kentucky",1
"2","Covid19Sim-Simulator","Wisconsin",1
"3","Google_Harvard-CPF","Alabama",1
"4","Google_Harvard-CPF","California",1
"5","Google_Harvard-CPF","Connecticut",1
"6","Google_Harvard-CPF","Florida",1
"7","Google_Harvard-CPF","Georgia",1
"8","Google_Harvard-CPF","Illinois",1
"9","Google_Harvard-CPF","Iowa",1
"10","Google_Harvard-CPF","Kansas",1
"11","Google_Harvard-CPF","Kentucky",1
"12","Google_Harvard-CPF","Louisiana",1
"13","Google_Harvard-CPF","Michigan",1
"14","Google_Harvard-CPF","Minnesota",1
"15","Google_Harvard-CPF","Mississippi",1
"16","Google_Harvard-CPF","Missouri",1
"17","Google_Harvard-CPF","Montana",1
"18","Google_Harvard-CPF","Nevada",1
"19","Google_Harvard-CPF","New Jersey",1
"20","Google_Harvard-CPF","New York",1
"21","Google_Harvard-CPF","North Carolina",1
"22","Google_Harvard-CPF","Ohio",1
"23","Google_Harvard-CPF","Oklahoma",1
"24","Google_Harvard-CPF","Pennsylvania",1
"25","Google_Harvard-CPF","Texas",1
"26","Google_Harvard-CPF","Utah",1
"27","Google_Harvard-CPF","Wisconsin",1
"28","JHU_IDD-CovidSP","Alabama",1
"29","JHU_IDD-CovidSP","Arizona",1
"30","JHU_IDD-CovidSP","California",1
"31","JHU_IDD-CovidSP","DC",1
"32","JHU_IDD-CovidSP","Delaware",1
"33","JHU_IDD-CovidSP","Georgia",1
"34","JHU_IDD-CovidSP","Illinois",1
"35","JHU_IDD-CovidSP","Kentucky",1
"36","JHU_IDD-CovidSP","Louisiana",1
"37","JHU_IDD-CovidSP","Mississippi",1
"38","JHU_IDD-CovidSP","Missouri",1
"39","JHU_IDD-CovidSP","National",1
"40","JHU_IDD-CovidSP","Nevada",1
"41","JHU_IDD-CovidSP","New Jersey",1
"42","JHU_IDD-CovidSP","Ohio",1
"43","JHU_IDD-CovidSP","Oklahoma",1
"44","JHU_IDD-CovidSP","South Carolina",1
"45","JHU_IDD-CovidSP","Texas",1
"46","JHU_IDD-CovidSP","Utah",1
"47","JHU_IDD-CovidSP","Wisconsin",1
"48","JHUAPL-Bucky","Alabama",1
"49","JHUAPL-Bucky","Georgia",1
"50","JHUAPL-Bucky","Kentucky",1
"51","JHUAPL-Bucky","Missouri",1
"52","JHUAPL-Bucky","Montana",1
"53","JHUAPL-Bucky","Oklahoma",1
"54","JHUAPL-Bucky","Oregon",1
"55","JHUAPL-Bucky","Utah",1
"56","JHUAPL-Bucky","Wisconsin",1
"57","Karlen-pypm","Wisconsin",1
"58","LANL-GrowthRate","Kansas",1
"59","MOBS-GLEAM_COVID","California",1
"60","UCLA-SuEIR","Alabama",1
"61","UCLA-SuEIR","Colorado",1
"62","UCLA-SuEIR","Connecticut",1
"63","UCLA-SuEIR","Delaware",1
"64","UCLA-SuEIR","Idaho",1
"65","UCLA-SuEIR","Kentucky",1
"66","UCLA-SuEIR","Louisiana",1
"67","UCLA-SuEIR","Missouri",1
"68","UCLA-SuEIR","Montana",1
"69","UCLA-SuEIR","National",1
"70","UCLA-SuEIR","Pennsylvania",1
"71","UCLA-SuEIR","Texas",1
"72","UCLA-SuEIR","Washington",1
"73","UCLA-SuEIR","Wisconsin",1
