location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
US,US,Covid19Sim-Simulator,19523,11556,1430,5836,eligible
US,US,CU-select,11039,11556,1430,5836,eligible
US,US,GT-DeepCOVID,10834,11556,1430,5836,eligible
US,US,IHME-CurveFit,7514,11556,1430,5836,eligible
US,US,JHUAPL-Bucky,10229,11556,1430,5836,eligible
US,US,JHUAPL-Gecko,14373,11556,1430,5836,eligible
US,US,Karlen-pypm,9974,11556,1430,5836,eligible
US,US,LANL-GrowthRate,7978,11556,1430,5836,eligible
US,US,MOBS-GLEAM_COVID,10630,11556,1430,5836,eligible
US,US,UCLA-SuEIR,8569,11556,1430,5836,eligible
US,US,USC-SI_kJalpha,10485,11556,1430,5836,eligible
11,District of Columbia,Covid19Sim-Simulator,45,29,7.9,-2.6,eligible
11,District of Columbia,CU-select,32,29,7.9,-2.6,eligible
11,District of Columbia,Google_Harvard-CPF,10,29,7.9,-2.6,eligible
11,District of Columbia,GT-DeepCOVID,25,29,7.9,-2.6,eligible
11,District of Columbia,IHME-CurveFit,12,29,7.9,-2.6,eligible
11,District of Columbia,JHUAPL-Bucky,32,29,7.9,-2.6,eligible
11,District of Columbia,JHUAPL-Gecko,113,29,7.9,-2.6,eligible
11,District of Columbia,Karlen-pypm,29,29,7.9,-2.6,eligible
11,District of Columbia,LANL-GrowthRate,24,29,7.9,-2.6,eligible
11,District of Columbia,USC-SI_kJalpha,26,29,7.9,-2.6,eligible
01,Alabama,Covid19Sim-Simulator,359,262,47.2,72.8,eligible
01,Alabama,CU-select,274,262,47.2,72.8,eligible
01,Alabama,Google_Harvard-CPF,104,262,47.2,72.8,eligible
01,Alabama,GT-DeepCOVID,249,262,47.2,72.8,eligible
01,Alabama,IHME-CurveFit,127,262,47.2,72.8,eligible
01,Alabama,JHUAPL-Bucky,296,262,47.2,72.8,eligible
01,Alabama,JHUAPL-Gecko,312,262,47.2,72.8,eligible
01,Alabama,Karlen-pypm,199,262,47.2,72.8,eligible
01,Alabama,LANL-GrowthRate,297,262,47.2,72.8,eligible
01,Alabama,MOBS-GLEAM_COVID,305,262,47.2,72.8,eligible
01,Alabama,USC-SI_kJalpha,251,262,47.2,72.8,eligible
02,Alaska,Covid19Sim-Simulator,8,5,1.4,-1,eligible
02,Alaska,CU-select,4,5,1.4,-1,eligible
02,Alaska,Google_Harvard-CPF,8,5,1.4,-1,eligible
02,Alaska,GT-DeepCOVID,9,5,1.4,-1,eligible
02,Alaska,IHME-CurveFit,10,5,1.4,-1,eligible
02,Alaska,JHUAPL-Bucky,9,5,1.4,-1,eligible
02,Alaska,JHUAPL-Gecko,2,5,1.4,-1,eligible
02,Alaska,Karlen-pypm,3,5,1.4,-1,eligible
02,Alaska,LANL-GrowthRate,3,5,1.4,-1,eligible
02,Alaska,MOBS-GLEAM_COVID,8,5,1.4,-1,eligible
02,Alaska,UCLA-SuEIR,2,5,1.4,-1,eligible
02,Alaska,USC-SI_kJalpha,4,5,1.4,-1,eligible
04,Arizona,Covid19Sim-Simulator,750,435,63.3,181.9,eligible
04,Arizona,CU-select,401,435,63.3,181.9,eligible
04,Arizona,GT-DeepCOVID,400,435,63.3,181.9,eligible
04,Arizona,IHME-CurveFit,337,435,63.3,181.9,eligible
04,Arizona,JHUAPL-Bucky,341,435,63.3,181.9,eligible
04,Arizona,JHUAPL-Gecko,601,435,63.3,181.9,eligible
04,Arizona,Karlen-pypm,350,435,63.3,181.9,eligible
04,Arizona,LANL-GrowthRate,244,435,63.3,181.9,eligible
04,Arizona,MOBS-GLEAM_COVID,318,435,63.3,181.9,eligible
04,Arizona,UCLA-SuEIR,376,435,63.3,181.9,eligible
04,Arizona,USC-SI_kJalpha,406,435,63.3,181.9,eligible
05,Arkansas,Covid19Sim-Simulator,186,125,22.3,35.6,eligible
05,Arkansas,CU-select,108,125,22.3,35.6,eligible
05,Arkansas,GT-DeepCOVID,120,125,22.3,35.6,eligible
05,Arkansas,IHME-CurveFit,123,125,22.3,35.6,eligible
05,Arkansas,JHUAPL-Bucky,74,125,22.3,35.6,eligible
05,Arkansas,JHUAPL-Gecko,277,125,22.3,35.6,eligible
05,Arkansas,Karlen-pypm,100,125,22.3,35.6,eligible
05,Arkansas,LANL-GrowthRate,78,125,22.3,35.6,eligible
05,Arkansas,MOBS-GLEAM_COVID,87,125,22.3,35.6,eligible
05,Arkansas,USC-SI_kJalpha,109,125,22.3,35.6,eligible
06,California,Covid19Sim-Simulator,2759,1492,210.1,651,eligible
06,California,CU-select,1211,1492,210.1,651,eligible
06,California,GT-DeepCOVID,1586,1492,210.1,651,eligible
06,California,IHME-CurveFit,1286,1492,210.1,651,eligible
06,California,JHUAPL-Bucky,1490,1492,210.1,651,eligible
06,California,JHUAPL-Gecko,1594,1492,210.1,651,eligible
06,California,Karlen-pypm,919,1492,210.1,651,eligible
06,California,LANL-GrowthRate,825,1492,210.1,651,eligible
06,California,MOBS-GLEAM_COVID,1539,1492,210.1,651,eligible
06,California,UCLA-SuEIR,1571,1492,210.1,651,eligible
06,California,USC-SI_kJalpha,1311,1492,210.1,651,eligible
08,Colorado,Covid19Sim-Simulator,123,96,22.8,4.4,eligible
08,Colorado,CU-select,87,96,22.8,4.4,eligible
08,Colorado,Google_Harvard-CPF,75,96,22.8,4.4,eligible
08,Colorado,GT-DeepCOVID,103,96,22.8,4.4,eligible
08,Colorado,IHME-CurveFit,33,96,22.8,4.4,eligible
08,Colorado,JHUAPL-Bucky,73,96,22.8,4.4,eligible
08,Colorado,JHUAPL-Gecko,101,96,22.8,4.4,eligible
08,Colorado,Karlen-pypm,79,96,22.8,4.4,eligible
08,Colorado,LANL-GrowthRate,74,96,22.8,4.4,eligible
08,Colorado,MOBS-GLEAM_COVID,65,96,22.8,4.4,eligible
08,Colorado,UCLA-SuEIR,28,96,22.8,4.4,eligible
08,Colorado,USC-SI_kJalpha,89,96,22.8,4.4,eligible
09,Connecticut,Covid19Sim-Simulator,185,129,19.2,52.2,eligible
09,Connecticut,CU-select,110,129,19.2,52.2,eligible
09,Connecticut,Google_Harvard-CPF,74,129,19.2,52.2,eligible
09,Connecticut,GT-DeepCOVID,132,129,19.2,52.2,eligible
09,Connecticut,IHME-CurveFit,62,129,19.2,52.2,eligible
09,Connecticut,JHUAPL-Bucky,91,129,19.2,52.2,eligible
09,Connecticut,JHUAPL-Gecko,169,129,19.2,52.2,eligible
09,Connecticut,Karlen-pypm,123,129,19.2,52.2,eligible
09,Connecticut,LANL-GrowthRate,92,129,19.2,52.2,eligible
09,Connecticut,MOBS-GLEAM_COVID,113,129,19.2,52.2,eligible
09,Connecticut,USC-SI_kJalpha,124,129,19.2,52.2,eligible
10,Delaware,Covid19Sim-Simulator,71,37,10.2,-4.2,eligible
10,Delaware,CU-select,39,37,10.2,-4.2,eligible
10,Delaware,Google_Harvard-CPF,12,37,10.2,-4.2,eligible
10,Delaware,GT-DeepCOVID,39,37,10.2,-4.2,eligible
10,Delaware,IHME-CurveFit,10,37,10.2,-4.2,eligible
10,Delaware,JHUAPL-Bucky,34,37,10.2,-4.2,eligible
10,Delaware,JHUAPL-Gecko,55,37,10.2,-4.2,eligible
10,Delaware,Karlen-pypm,30,37,10.2,-4.2,eligible
10,Delaware,LANL-GrowthRate,30,37,10.2,-4.2,eligible
10,Delaware,MOBS-GLEAM_COVID,34,37,10.2,-4.2,eligible
10,Delaware,UCLA-SuEIR,12,37,10.2,-4.2,eligible
10,Delaware,USC-SI_kJalpha,34,37,10.2,-4.2,eligible
12,Florida,Covid19Sim-Simulator,1160,931,93,559,eligible
12,Florida,CU-select,848,931,93,559,eligible
12,Florida,GT-DeepCOVID,903,931,93,559,eligible
12,Florida,JHUAPL-Bucky,660,931,93,559,eligible
12,Florida,JHUAPL-Gecko,1027,931,93,559,eligible
12,Florida,Karlen-pypm,771,931,93,559,eligible
12,Florida,LANL-GrowthRate,722,931,93,559,eligible
12,Florida,MOBS-GLEAM_COVID,690,931,93,559,eligible
12,Florida,USC-SI_kJalpha,857,931,93,559,eligible
13,Georgia,Covid19Sim-Simulator,900,595,91.3,229.8,eligible
13,Georgia,CU-select,594,595,91.3,229.8,eligible
