location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
13,Georgia,GT-DeepCOVID,656,595,91.3,229.8,eligible
13,Georgia,IHME-CurveFit,448,595,91.3,229.8,eligible
13,Georgia,JHUAPL-Bucky,553,595,91.3,229.8,eligible
13,Georgia,JHUAPL-Gecko,467,595,91.3,229.8,eligible
13,Georgia,Karlen-pypm,459,595,91.3,229.8,eligible
13,Georgia,LANL-GrowthRate,407,595,91.3,229.8,eligible
13,Georgia,MOBS-GLEAM_COVID,599,595,91.3,229.8,eligible
13,Georgia,USC-SI_kJalpha,557,595,91.3,229.8,eligible
15,Hawaii,Covid19Sim-Simulator,15,7,2.3,-2.1,eligible
15,Hawaii,CU-select,8,7,2.3,-2.1,eligible
15,Hawaii,Google_Harvard-CPF,6,7,2.3,-2.1,eligible
15,Hawaii,IHME-CurveFit,11,7,2.3,-2.1,eligible
15,Hawaii,JHUAPL-Bucky,8,7,2.3,-2.1,eligible
15,Hawaii,JHUAPL-Gecko,19,7,2.3,-2.1,eligible
15,Hawaii,Karlen-pypm,6,7,2.3,-2.1,eligible
15,Hawaii,LANL-GrowthRate,7,7,2.3,-2.1,eligible
15,Hawaii,MOBS-GLEAM_COVID,12,7,2.3,-2.1,eligible
15,Hawaii,USC-SI_kJalpha,7,7,2.3,-2.1,eligible
16,Idaho,Covid19Sim-Simulator,45,28,4.3,10.4,eligible
16,Idaho,CU-select,22,28,4.3,10.4,eligible
16,Idaho,Google_Harvard-CPF,18,28,4.3,10.4,eligible
16,Idaho,GT-DeepCOVID,29,28,4.3,10.4,eligible
16,Idaho,IHME-CurveFit,10,28,4.3,10.4,eligible
16,Idaho,JHUAPL-Bucky,19,28,4.3,10.4,eligible
16,Idaho,JHUAPL-Gecko,20,28,4.3,10.4,eligible
16,Idaho,Karlen-pypm,20,28,4.3,10.4,eligible
16,Idaho,LANL-GrowthRate,15,28,4.3,10.4,eligible
16,Idaho,MOBS-GLEAM_COVID,23,28,4.3,10.4,eligible
16,Idaho,USC-SI_kJalpha,22,28,4.3,10.4,eligible
17,Illinois,Covid19Sim-Simulator,530,288,39.8,128.7,eligible
17,Illinois,CU-select,240,288,39.8,128.7,eligible
17,Illinois,GT-DeepCOVID,316,288,39.8,128.7,eligible
17,Illinois,IHME-CurveFit,196,288,39.8,128.7,eligible
17,Illinois,JHUAPL-Bucky,222,288,39.8,128.7,eligible
17,Illinois,JHUAPL-Gecko,602,288,39.8,128.7,eligible
17,Illinois,Karlen-pypm,237,288,39.8,128.7,eligible
17,Illinois,LANL-GrowthRate,161,288,39.8,128.7,eligible
17,Illinois,MOBS-GLEAM_COVID,151,288,39.8,128.7,eligible
17,Illinois,UCLA-SuEIR,243,288,39.8,128.7,eligible
17,Illinois,USC-SI_kJalpha,229,288,39.8,128.7,eligible
18,Indiana,Covid19Sim-Simulator,333,190,41.9,22.2,eligible
18,Indiana,CU-select,182,190,41.9,22.2,eligible
18,Indiana,Google_Harvard-CPF,84,190,41.9,22.2,eligible
18,Indiana,GT-DeepCOVID,233,190,41.9,22.2,eligible
18,Indiana,IHME-CurveFit,91,190,41.9,22.2,eligible
18,Indiana,JHUAPL-Bucky,116,190,41.9,22.2,eligible
18,Indiana,JHUAPL-Gecko,253,190,41.9,22.2,eligible
18,Indiana,Karlen-pypm,134,190,41.9,22.2,eligible
18,Indiana,LANL-GrowthRate,103,190,41.9,22.2,eligible
18,Indiana,MOBS-GLEAM_COVID,92,190,41.9,22.2,eligible
18,Indiana,USC-SI_kJalpha,160,190,41.9,22.2,eligible
19,Iowa,Covid19Sim-Simulator,78,53,13.9,-2.2,eligible
19,Iowa,CU-select,51,53,13.9,-2.2,eligible
19,Iowa,Google_Harvard-CPF,15,53,13.9,-2.2,eligible
19,Iowa,IHME-CurveFit,43,53,13.9,-2.2,eligible
19,Iowa,JHUAPL-Bucky,43,53,13.9,-2.2,eligible
19,Iowa,JHUAPL-Gecko,20,53,13.9,-2.2,eligible
19,Iowa,Karlen-pypm,44,53,13.9,-2.2,eligible
19,Iowa,LANL-GrowthRate,31,53,13.9,-2.2,eligible
19,Iowa,MOBS-GLEAM_COVID,37,53,13.9,-2.2,eligible
19,Iowa,UCLA-SuEIR,35,53,13.9,-2.2,eligible
19,Iowa,USC-SI_kJalpha,47,53,13.9,-2.2,eligible
20,Kansas,Covid19Sim-Simulator,105,78,20,-1.4,eligible
20,Kansas,CU-select,79,78,20,-1.4,eligible
20,Kansas,Google_Harvard-CPF,52,78,20,-1.4,eligible
20,Kansas,GT-DeepCOVID,104,78,20,-1.4,eligible
20,Kansas,IHME-CurveFit,38,78,20,-1.4,eligible
20,Kansas,JHUAPL-Bucky,82,78,20,-1.4,eligible
20,Kansas,JHUAPL-Gecko,86,78,20,-1.4,eligible
20,Kansas,Karlen-pypm,61,78,20,-1.4,eligible
20,Kansas,LANL-GrowthRate,50,78,20,-1.4,eligible
20,Kansas,MOBS-GLEAM_COVID,76,78,20,-1.4,eligible
20,Kansas,USC-SI_kJalpha,72,78,20,-1.4,eligible
21,Kentucky,Covid19Sim-Simulator,289,357,35.3,215.9,eligible
21,Kentucky,CU-select,330,357,35.3,215.9,eligible
21,Kentucky,GT-DeepCOVID,364,357,35.3,215.9,eligible
21,Kentucky,JHUAPL-Gecko,400,357,35.3,215.9,eligible
21,Kentucky,Karlen-pypm,292,357,35.3,215.9,eligible
21,Kentucky,LANL-GrowthRate,232,357,35.3,215.9,eligible
21,Kentucky,MOBS-GLEAM_COVID,482,357,35.3,215.9,eligible
21,Kentucky,USC-SI_kJalpha,329,357,35.3,215.9,eligible
22,Louisiana,Covid19Sim-Simulator,300,168,27.7,56.7,eligible
22,Louisiana,CU-select,185,168,27.7,56.7,eligible
22,Louisiana,GT-DeepCOVID,174,168,27.7,56.7,eligible
22,Louisiana,IHME-CurveFit,98,168,27.7,56.7,eligible
22,Louisiana,JHUAPL-Bucky,121,168,27.7,56.7,eligible
22,Louisiana,JHUAPL-Gecko,128,168,27.7,56.7,eligible
22,Louisiana,Karlen-pypm,133,168,27.7,56.7,eligible
22,Louisiana,LANL-GrowthRate,128,168,27.7,56.7,eligible
22,Louisiana,MOBS-GLEAM_COVID,153,168,27.7,56.7,eligible
22,Louisiana,USC-SI_kJalpha,152,168,27.7,56.7,eligible
23,Maine,Covid19Sim-Simulator,31,17,5.1,-3.6,eligible
23,Maine,CU-select,11,17,5.1,-3.6,eligible
23,Maine,Google_Harvard-CPF,15,17,5.1,-3.6,eligible
23,Maine,GT-DeepCOVID,13,17,5.1,-3.6,eligible
23,Maine,IHME-CurveFit,9,17,5.1,-3.6,eligible
23,Maine,JHUAPL-Bucky,23,17,5.1,-3.6,eligible
23,Maine,JHUAPL-Gecko,34,17,5.1,-3.6,eligible
23,Maine,Karlen-pypm,10,17,5.1,-3.6,eligible
23,Maine,LANL-GrowthRate,12,17,5.1,-3.6,eligible
23,Maine,MOBS-GLEAM_COVID,16,17,5.1,-3.6,eligible
23,Maine,UCLA-SuEIR,17,17,5.1,-3.6,eligible
23,Maine,USC-SI_kJalpha,14,17,5.1,-3.6,eligible
24,Maryland,Covid19Sim-Simulator,301,192,21.5,105.6,eligible
24,Maryland,CU-select,166,192,21.5,105.6,eligible
24,Maryland,Google_Harvard-CPF,131,192,21.5,105.6,eligible
24,Maryland,GT-DeepCOVID,175,192,21.5,105.6,eligible
24,Maryland,JHUAPL-Bucky,127,192,21.5,105.6,eligible
24,Maryland,JHUAPL-Gecko,463,192,21.5,105.6,eligible
24,Maryland,Karlen-pypm,148,192,21.5,105.6,eligible
24,Maryland,LANL-GrowthRate,130,192,21.5,105.6,eligible
24,Maryland,MOBS-GLEAM_COVID,137,192,21.5,105.6,eligible
24,Maryland,UCLA-SuEIR,148,192,21.5,105.6,eligible
24,Maryland,USC-SI_kJalpha,175,192,21.5,105.6,eligible
25,Massachusetts,Covid19Sim-Simulator,344,209,27.6,98.5,eligible
25,Massachusetts,CU-select,185,209,27.6,98.5,eligible
25,Massachusetts,GT-DeepCOVID,199,209,27.6,98.5,eligible
25,Massachusetts,JHUAPL-Bucky,148,209,27.6,98.5,eligible
25,Massachusetts,JHUAPL-Gecko,275,209,27.6,98.5,eligible
25,Massachusetts,Karlen-pypm,150,209,27.6,98.5,eligible
25,Massachusetts,LANL-GrowthRate,121,209,27.6,98.5,eligible
25,Massachusetts,MOBS-GLEAM_COVID,205,209,27.6,98.5,eligible
25,Massachusetts,UCLA-SuEIR,175,209,27.6,98.5,eligible
25,Massachusetts,USC-SI_kJalpha,186,209,27.6,98.5,eligible
26,Michigan,Covid19Sim-Simulator,298,161,32.5,31.1,eligible
26,Michigan,CU-select,177,161,32.5,31.1,eligible
26,Michigan,Google_Harvard-CPF,51,161,32.5,31.1,eligible
26,Michigan,GT-DeepCOVID,185,161,32.5,31.1,eligible
26,Michigan,IHME-CurveFit,151,161,32.5,31.1,eligible
26,Michigan,JHUAPL-Bucky,135,161,32.5,31.1,eligible
26,Michigan,JHUAPL-Gecko,127,161,32.5,31.1,eligible
26,Michigan,Karlen-pypm,140,161,32.5,31.1,eligible
26,Michigan,LANL-GrowthRate,117,161,32.5,31.1,eligible
26,Michigan,MOBS-GLEAM_COVID,127,161,32.5,31.1,eligible
26,Michigan,UCLA-SuEIR,124,161,32.5,31.1,eligible
26,Michigan,USC-SI_kJalpha,145,161,32.5,31.1,eligible
27,Minnesota,Covid19Sim-Simulator,87,56,14.2,-0.3,eligible
27,Minnesota,CU-select,58,56,14.2,-0.3,eligible
27,Minnesota,Google_Harvard-CPF,11,56,14.2,-0.3,eligible
27,Minnesota,GT-DeepCOVID,69,56,14.2,-0.3,eligible
27,Minnesota,IHME-CurveFit,32,56,14.2,-0.3,eligible
27,Minnesota,JHUAPL-Bucky,48,56,14.2,-0.3,eligible
27,Minnesota,JHUAPL-Gecko,75,56,14.2,-0.3,eligible
27,Minnesota,Karlen-pypm,40,56,14.2,-0.3,eligible
27,Minnesota,LANL-GrowthRate,36,56,14.2,-0.3,eligible
27,Minnesota,MOBS-GLEAM_COVID,31,56,14.2,-0.3,eligible
27,Minnesota,USC-SI_kJalpha,46,56,14.2,-0.3,eligible
28,Mississippi,Covid19Sim-Simulator,198,88,17.9,15.9,eligible
28,Mississippi,CU-select,105,88,17.9,15.9,eligible
28,Mississippi,Google_Harvard-CPF,36,88,17.9,15.9,eligible
28,Mississippi,GT-DeepCOVID,112,88,17.9,15.9,eligible
28,Mississippi,IHME-CurveFit,56,88,17.9,15.9,eligible
28,Mississippi,JHUAPL-Bucky,96,88,17.9,15.9,eligible
28,Mississippi,JHUAPL-Gecko,75,88,17.9,15.9,eligible
28,Mississippi,Karlen-pypm,72,88,17.9,15.9,eligible
28,Mississippi,LANL-GrowthRate,61,88,17.9,15.9,eligible
28,Mississippi,MOBS-GLEAM_COVID,95,88,17.9,15.9,eligible
28,Mississippi,UCLA-SuEIR,79,88,17.9,15.9,eligible
28,Mississippi,USC-SI_kJalpha,86,88,17.9,15.9,eligible
29,Missouri,Covid19Sim-Simulator,340,165,27.4,55.7,eligible
29,Missouri,CU-select,145,165,27.4,55.7,eligible
29,Missouri,GT-DeepCOVID,175,165,27.4,55.7,eligible
29,Missouri,JHUAPL-Bucky,114,165,27.4,55.7,eligible
29,Missouri,JHUAPL-Gecko,275,165,27.4,55.7,eligible
29,Missouri,Karlen-pypm,145,165,27.4,55.7,eligible
29,Missouri,LANL-GrowthRate,97,165,27.4,55.7,eligible
29,Missouri,MOBS-GLEAM_COVID,163,165,27.4,55.7,eligible
29,Missouri,USC-SI_kJalpha,130,165,27.4,55.7,eligible
30,Montana,Covid19Sim-Simulator,27,25,6.8,-1.7,eligible
30,Montana,CU-select,27,25,6.8,-1.7,eligible
30,Montana,Google_Harvard-CPF,4,25,6.8,-1.7,eligible
30,Montana,GT-DeepCOVID,36,25,6.8,-1.7,eligible
30,Montana,IHME-CurveFit,23,25,6.8,-1.7,eligible
30,Montana,JHUAPL-Bucky,17,25,6.8,-1.7,eligible
30,Montana,JHUAPL-Gecko,26,25,6.8,-1.7,eligible
30,Montana,Karlen-pypm,23,25,6.8,-1.7,eligible
30,Montana,LANL-GrowthRate,18,25,6.8,-1.7,eligible
30,Montana,MOBS-GLEAM_COVID,30,25,6.8,-1.7,eligible
30,Montana,UCLA-SuEIR,4,25,6.8,-1.7,eligible
30,Montana,USC-SI_kJalpha,23,25,6.8,-1.7,eligible
31,Nebraska,Covid19Sim-Simulator,67,29,10.8,-13.7,eligible
31,Nebraska,CU-select,32,29,10.8,-13.7,eligible
31,Nebraska,Google_Harvard-CPF,19,29,10.8,-13.7,eligible
31,Nebraska,GT-DeepCOVID,34,29,10.8,-13.7,eligible
31,Nebraska,IHME-CurveFit,16,29,10.8,-13.7,eligible
31,Nebraska,JHUAPL-Bucky,33,29,10.8,-13.7,eligible
31,Nebraska,JHUAPL-Gecko,39,29,10.8,-13.7,eligible
31,Nebraska,Karlen-pypm,23,29,10.8,-13.7,eligible
31,Nebraska,LANL-GrowthRate,17,29,10.8,-13.7,eligible
31,Nebraska,MOBS-GLEAM_COVID,27,29,10.8,-13.7,eligible
31,Nebraska,USC-SI_kJalpha,26,29,10.8,-13.7,eligible
32,Nevada,Covid19Sim-Simulator,236,121,17.5,50.8,eligible
32,Nevada,CU-select,92,121,17.5,50.8,eligible
32,Nevada,GT-DeepCOVID,123,121,17.5,50.8,eligible
32,Nevada,IHME-CurveFit,104,121,17.5,50.8,eligible
32,Nevada,JHUAPL-Bucky,103,121,17.5,50.8,eligible
32,Nevada,JHUAPL-Gecko,186,121,17.5,50.8,eligible
32,Nevada,Karlen-pypm,83,121,17.5,50.8,eligible
32,Nevada,LANL-GrowthRate,70,121,17.5,50.8,eligible
32,Nevada,MOBS-GLEAM_COVID,108,121,17.5,50.8,eligible
32,Nevada,USC-SI_kJalpha,90,121,17.5,50.8,eligible
33,New Hampshire,Covid19Sim-Simulator,40,23,5.3,1.8,eligible
33,New Hampshire,CU-select,26,23,5.3,1.8,eligible
33,New Hampshire,Google_Harvard-CPF,8,23,5.3,1.8,eligible
33,New Hampshire,IHME-CurveFit,9,23,5.3,1.8,eligible
33,New Hampshire,JHUAPL-Bucky,35,23,5.3,1.8,eligible
33,New Hampshire,JHUAPL-Gecko,44,23,5.3,1.8,eligible
33,New Hampshire,Karlen-pypm,19,23,5.3,1.8,eligible
33,New Hampshire,LANL-GrowthRate,17,23,5.3,1.8,eligible
33,New Hampshire,MOBS-GLEAM_COVID,24,23,5.3,1.8,eligible
33,New Hampshire,UCLA-SuEIR,10,23,5.3,1.8,eligible
33,New Hampshire,USC-SI_kJalpha,22,23,5.3,1.8,eligible
34,New Jersey,Covid19Sim-Simulator,603,339,39.3,182.2,eligible
34,New Jersey,CU-select,378,339,39.3,182.2,eligible
34,New Jersey,Google_Harvard-CPF,195,339,39.3,182.2,eligible
34,New Jersey,GT-DeepCOVID,372,339,39.3,182.2,eligible
34,New Jersey,IHME-CurveFit,183,339,39.3,182.2,eligible
34,New Jersey,JHUAPL-Bucky,295,339,39.3,182.2,eligible
34,New Jersey,JHUAPL-Gecko,490,339,39.3,182.2,eligible
34,New Jersey,Karlen-pypm,331,339,39.3,182.2,eligible
34,New Jersey,LANL-GrowthRate,258,339,39.3,182.2,eligible
34,New Jersey,MOBS-GLEAM_COVID,297,339,39.3,182.2,eligible
34,New Jersey,UCLA-SuEIR,287,339,39.3,182.2,eligible
34,New Jersey,USC-SI_kJalpha,319,339,39.3,182.2,eligible
35,New Mexico,Covid19Sim-Simulator,92,84,13.3,30.2,eligible
35,New Mexico,CU-select,68,84,13.3,30.2,eligible
35,New Mexico,Google_Harvard-CPF,33,84,13.3,30.2,eligible
35,New Mexico,GT-DeepCOVID,75,84,13.3,30.2,eligible
35,New Mexico,IHME-CurveFit,84,84,13.3,30.2,eligible
35,New Mexico,JHUAPL-Bucky,46,84,13.3,30.2,eligible
35,New Mexico,JHUAPL-Gecko,122,84,13.3,30.2,eligible
35,New Mexico,Karlen-pypm,69,84,13.3,30.2,eligible
35,New Mexico,LANL-GrowthRate,57,84,13.3,30.2,eligible
35,New Mexico,MOBS-GLEAM_COVID,47,84,13.3,30.2,eligible
35,New Mexico,USC-SI_kJalpha,75,84,13.3,30.2,eligible
36,New York,Covid19Sim-Simulator,1514,845,103.7,430.1,eligible
36,New York,CU-select,889,845,103.7,430.1,eligible
36,New York,IHME-CurveFit,604,845,103.7,430.1,eligible
36,New York,JHUAPL-Bucky,977,845,103.7,430.1,eligible
36,New York,JHUAPL-Gecko,869,845,103.7,430.1,eligible
36,New York,Karlen-pypm,735,845,103.7,430.1,eligible
36,New York,LANL-GrowthRate,657,845,103.7,430.1,eligible
36,New York,MOBS-GLEAM_COVID,1030,845,103.7,430.1,eligible
36,New York,UCLA-SuEIR,911,845,103.7,430.1,eligible
36,New York,USC-SI_kJalpha,790,845,103.7,430.1,eligible
37,North Carolina,Covid19Sim-Simulator,625,332,51.6,125.2,eligible
37,North Carolina,CU-select,290,332,51.6,125.2,eligible
37,North Carolina,GT-DeepCOVID,333,332,51.6,125.2,eligible
37,North Carolina,IHME-CurveFit,202,332,51.6,125.2,eligible
37,North Carolina,JHUAPL-Bucky,317,332,51.6,125.2,eligible
37,North Carolina,JHUAPL-Gecko,479,332,51.6,125.2,eligible
37,North Carolina,Karlen-pypm,283,332,51.6,125.2,eligible
37,North Carolina,LANL-GrowthRate,242,332,51.6,125.2,eligible
37,North Carolina,MOBS-GLEAM_COVID,355,332,51.6,125.2,eligible
37,North Carolina,USC-SI_kJalpha,309,332,51.6,125.2,eligible
38,North Dakota,Covid19Sim-Simulator,10,10,1.9,2.1,eligible
38,North Dakota,CU-select,8,10,1.9,2.1,eligible
38,North Dakota,GT-DeepCOVID,16,10,1.9,2.1,eligible
38,North Dakota,IHME-CurveFit,7,10,1.9,2.1,eligible
38,North Dakota,JHUAPL-Bucky,9,10,1.9,2.1,eligible
38,North Dakota,JHUAPL-Gecko,13,10,1.9,2.1,eligible
38,North Dakota,Karlen-pypm,6,10,1.9,2.1,eligible
38,North Dakota,LANL-GrowthRate,5,10,1.9,2.1,eligible
38,North Dakota,MOBS-GLEAM_COVID,3,10,1.9,2.1,eligible
38,North Dakota,USC-SI_kJalpha,8,10,1.9,2.1,eligible
39,Ohio,Covid19Sim-Simulator,549,366,71.3,81.3,eligible
39,Ohio,CU-select,359,366,71.3,81.3,eligible
39,Ohio,GT-DeepCOVID,314,366,71.3,81.3,eligible
39,Ohio,IHME-CurveFit,93,366,71.3,81.3,eligible
39,Ohio,JHUAPL-Bucky,277,366,71.3,81.3,eligible
39,Ohio,JHUAPL-Gecko,509,366,71.3,81.3,eligible
39,Ohio,Karlen-pypm,338,366,71.3,81.3,eligible
39,Ohio,LANL-GrowthRate,232,366,71.3,81.3,eligible
39,Ohio,MOBS-GLEAM_COVID,353,366,71.3,81.3,eligible
39,Ohio,USC-SI_kJalpha,323,366,71.3,81.3,eligible
40,Oklahoma,Covid19Sim-Simulator,281,252,28.9,136,eligible
40,Oklahoma,CU-select,248,252,28.9,136,eligible
40,Oklahoma,GT-DeepCOVID,297,252,28.9,136,eligible
40,Oklahoma,JHUAPL-Gecko,261,252,28.9,136,eligible
40,Oklahoma,Karlen-pypm,203,252,28.9,136,eligible
40,Oklahoma,LANL-GrowthRate,157,252,28.9,136,eligible
40,Oklahoma,MOBS-GLEAM_COVID,323,252,28.9,136,eligible
40,Oklahoma,USC-SI_kJalpha,227,252,28.9,136,eligible
41,Oregon,Covid19Sim-Simulator,61,43,5.6,20.7,eligible
