location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
US,US,Covid19Sim-Simulator,14428,9906,1379.3,4389,eligible
US,US,CU-select,9480,9906,1379.3,4389,eligible
US,US,GT-DeepCOVID,9098,9906,1379.3,4389,eligible
US,US,IHME-CurveFit,6412,9906,1379.3,4389,eligible
US,US,JHU_IDD-CovidSP,7668,9906,1379.3,4389,eligible
US,US,JHUAPL-Bucky,8972,9906,1379.3,4389,eligible
US,US,JHUAPL-Gecko,8381,9906,1379.3,4389,eligible
US,US,Karlen-pypm,8171,9906,1379.3,4389,eligible
US,US,LANL-GrowthRate,6100,9906,1379.3,4389,eligible
US,US,MOBS-GLEAM_COVID,9420,9906,1379.3,4389,eligible
US,US,UCLA-SuEIR,6729,9906,1379.3,4389,eligible
US,US,USC-SI_kJalpha,8657,9906,1379.3,4389,eligible
11,District of Columbia,Covid19Sim-Simulator,34,35,8.2,2.2,eligible
11,District of Columbia,CU-select,25,35,8.2,2.2,eligible
11,District of Columbia,Google_Harvard-CPF,5,35,8.2,2.2,eligible
11,District of Columbia,GT-DeepCOVID,22,35,8.2,2.2,eligible
11,District of Columbia,IHME-CurveFit,17,35,8.2,2.2,eligible
11,District of Columbia,JHU_IDD-CovidSP,5,35,8.2,2.2,eligible
11,District of Columbia,JHUAPL-Bucky,25,35,8.2,2.2,eligible
11,District of Columbia,JHUAPL-Gecko,31,35,8.2,2.2,eligible
11,District of Columbia,Karlen-pypm,23,35,8.2,2.2,eligible
11,District of Columbia,LANL-GrowthRate,27,35,8.2,2.2,eligible
11,District of Columbia,USC-SI_kJalpha,24,35,8.2,2.2,eligible
01,Alabama,Covid19Sim-Simulator,249,215,39.4,57.1,eligible
01,Alabama,CU-select,254,215,39.4,57.1,eligible
01,Alabama,Google_Harvard-CPF,104,215,39.4,57.1,eligible
01,Alabama,IHME-CurveFit,239,215,39.4,57.1,eligible
01,Alabama,JHU_IDD-CovidSP,117,215,39.4,57.1,eligible
01,Alabama,JHUAPL-Bucky,253,215,39.4,57.1,eligible
01,Alabama,JHUAPL-Gecko,166,215,39.4,57.1,eligible
01,Alabama,Karlen-pypm,180,215,39.4,57.1,eligible
01,Alabama,LANL-GrowthRate,145,215,39.4,57.1,eligible
01,Alabama,MOBS-GLEAM_COVID,367,215,39.4,57.1,eligible
01,Alabama,USC-SI_kJalpha,238,215,39.4,57.1,eligible
02,Alaska,Covid19Sim-Simulator,5,3,1.8,-4.2,eligible
02,Alaska,CU-select,4,3,1.8,-4.2,eligible
02,Alaska,Google_Harvard-CPF,2,3,1.8,-4.2,eligible
02,Alaska,GT-DeepCOVID,4,3,1.8,-4.2,eligible
02,Alaska,IHME-CurveFit,1,3,1.8,-4.2,eligible
02,Alaska,JHU_IDD-CovidSP,7,3,1.8,-4.2,eligible
02,Alaska,JHUAPL-Bucky,4,3,1.8,-4.2,eligible
02,Alaska,JHUAPL-Gecko,1,3,1.8,-4.2,eligible
02,Alaska,Karlen-pypm,2,3,1.8,-4.2,eligible
02,Alaska,LANL-GrowthRate,2,3,1.8,-4.2,eligible
02,Alaska,MOBS-GLEAM_COVID,9,3,1.8,-4.2,eligible
02,Alaska,UCLA-SuEIR,1,3,1.8,-4.2,eligible
02,Alaska,USC-SI_kJalpha,3,3,1.8,-4.2,eligible
04,Arizona,Covid19Sim-Simulator,497,318,71.6,31.8,eligible
04,Arizona,CU-select,320,318,71.6,31.8,eligible
04,Arizona,Google_Harvard-CPF,78,318,71.6,31.8,eligible
04,Arizona,IHME-CurveFit,223,318,71.6,31.8,eligible
04,Arizona,JHU_IDD-CovidSP,184,318,71.6,31.8,eligible
04,Arizona,JHUAPL-Bucky,294,318,71.6,31.8,eligible
04,Arizona,JHUAPL-Gecko,206,318,71.6,31.8,eligible
04,Arizona,Karlen-pypm,224,318,71.6,31.8,eligible
04,Arizona,LANL-GrowthRate,142,318,71.6,31.8,eligible
04,Arizona,MOBS-GLEAM_COVID,257,318,71.6,31.8,eligible
04,Arizona,UCLA-SuEIR,286,318,71.6,31.8,eligible
04,Arizona,USC-SI_kJalpha,324,318,71.6,31.8,eligible
05,Arkansas,Covid19Sim-Simulator,127,114,17.8,42.3,eligible
05,Arkansas,CU-select,111,114,17.8,42.3,eligible
05,Arkansas,GT-DeepCOVID,88,114,17.8,42.3,eligible
05,Arkansas,IHME-CurveFit,93,114,17.8,42.3,eligible
05,Arkansas,JHU_IDD-CovidSP,80,114,17.8,42.3,eligible
05,Arkansas,JHUAPL-Bucky,73,114,17.8,42.3,eligible
05,Arkansas,JHUAPL-Gecko,83,114,17.8,42.3,eligible
05,Arkansas,Karlen-pypm,86,114,17.8,42.3,eligible
05,Arkansas,LANL-GrowthRate,76,114,17.8,42.3,eligible
05,Arkansas,MOBS-GLEAM_COVID,95,114,17.8,42.3,eligible
05,Arkansas,USC-SI_kJalpha,87,114,17.8,42.3,eligible
06,California,Covid19Sim-Simulator,1882,1173,210.8,330,eligible
06,California,CU-select,987,1173,210.8,330,eligible
06,California,GT-DeepCOVID,1294,1173,210.8,330,eligible
06,California,IHME-CurveFit,1150,1173,210.8,330,eligible
06,California,JHU_IDD-CovidSP,847,1173,210.8,330,eligible
06,California,JHUAPL-Bucky,1094,1173,210.8,330,eligible
06,California,JHUAPL-Gecko,758,1173,210.8,330,eligible
06,California,Karlen-pypm,652,1173,210.8,330,eligible
06,California,LANL-GrowthRate,569,1173,210.8,330,eligible
06,California,MOBS-GLEAM_COVID,1174,1173,210.8,330,eligible
06,California,UCLA-SuEIR,1215,1173,210.8,330,eligible
06,California,USC-SI_kJalpha,953,1173,210.8,330,eligible
08,Colorado,Covid19Sim-Simulator,109,86,17.3,16.8,eligible
08,Colorado,CU-select,82,86,17.3,16.8,eligible
08,Colorado,Google_Harvard-CPF,48,86,17.3,16.8,eligible
08,Colorado,GT-DeepCOVID,85,86,17.3,16.8,eligible
08,Colorado,IHME-CurveFit,27,86,17.3,16.8,eligible
08,Colorado,JHU_IDD-CovidSP,83,86,17.3,16.8,eligible
08,Colorado,JHUAPL-Bucky,64,86,17.3,16.8,eligible
08,Colorado,JHUAPL-Gecko,67,86,17.3,16.8,eligible
08,Colorado,Karlen-pypm,67,86,17.3,16.8,eligible
08,Colorado,LANL-GrowthRate,71,86,17.3,16.8,eligible
08,Colorado,MOBS-GLEAM_COVID,79,86,17.3,16.8,eligible
08,Colorado,UCLA-SuEIR,21,86,17.3,16.8,eligible
08,Colorado,USC-SI_kJalpha,78,86,17.3,16.8,eligible
09,Connecticut,Covid19Sim-Simulator,136,125,16.8,57.3,eligible
09,Connecticut,CU-select,94,125,16.8,57.3,eligible
09,Connecticut,GT-DeepCOVID,177,125,16.8,57.3,eligible
09,Connecticut,JHU_IDD-CovidSP,74,125,16.8,57.3,eligible
09,Connecticut,JHUAPL-Bucky,81,125,16.8,57.3,eligible
09,Connecticut,JHUAPL-Gecko,103,125,16.8,57.3,eligible
09,Connecticut,Karlen-pypm,102,125,16.8,57.3,eligible
09,Connecticut,LANL-GrowthRate,59,125,16.8,57.3,eligible
09,Connecticut,MOBS-GLEAM_COVID,70,125,16.8,57.3,eligible
09,Connecticut,USC-SI_kJalpha,116,125,16.8,57.3,eligible
10,Delaware,Covid19Sim-Simulator,50,30,9,-6,eligible
10,Delaware,CU-select,29,30,9,-6,eligible
10,Delaware,Google_Harvard-CPF,5,30,9,-6,eligible
10,Delaware,GT-DeepCOVID,30,30,9,-6,eligible
10,Delaware,IHME-CurveFit,11,30,9,-6,eligible
10,Delaware,JHU_IDD-CovidSP,17,30,9,-6,eligible
10,Delaware,JHUAPL-Bucky,28,30,9,-6,eligible
10,Delaware,JHUAPL-Gecko,16,30,9,-6,eligible
10,Delaware,Karlen-pypm,23,30,9,-6,eligible
