location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
US,US,Covid19Sim-Simulator,9270,8135,1162.2,3486.5,eligible
US,US,CU-select,7820,8135,1162.2,3486.5,eligible
US,US,GT-DeepCOVID,6936,8135,1162.2,3486.5,eligible
US,US,IHME-CurveFit,5689,8135,1162.2,3486.5,eligible
US,US,JHU_IDD-CovidSP,6999,8135,1162.2,3486.5,eligible
US,US,JHUAPL-Bucky,7822,8135,1162.2,3486.5,eligible
US,US,JHUAPL-Gecko,5497,8135,1162.2,3486.5,eligible
US,US,Karlen-pypm,6427,8135,1162.2,3486.5,eligible
US,US,LANL-GrowthRate,4741,8135,1162.2,3486.5,eligible
US,US,MOBS-GLEAM_COVID,8143,8135,1162.2,3486.5,eligible
US,US,USC-SI_kJalpha,7006,8135,1162.2,3486.5,eligible
11,District of Columbia,Covid19Sim-Simulator,31,25,8,-7.2,eligible
11,District of Columbia,CU-select,23,25,8,-7.2,eligible
11,District of Columbia,Google_Harvard-CPF,8,25,8,-7.2,eligible
11,District of Columbia,GT-DeepCOVID,27,25,8,-7.2,eligible
11,District of Columbia,IHME-CurveFit,20,25,8,-7.2,eligible
11,District of Columbia,JHU_IDD-CovidSP,5,25,8,-7.2,eligible
11,District of Columbia,JHUAPL-Bucky,24,25,8,-7.2,eligible
11,District of Columbia,JHUAPL-Gecko,23,25,8,-7.2,eligible
11,District of Columbia,Karlen-pypm,18,25,8,-7.2,eligible
11,District of Columbia,LANL-GrowthRate,14,25,8,-7.2,eligible
11,District of Columbia,USC-SI_kJalpha,25,25,8,-7.2,eligible
01,Alabama,Covid19Sim-Simulator,224,174,34,38.3,eligible
01,Alabama,CU-select,193,174,34,38.3,eligible
01,Alabama,Google_Harvard-CPF,85,174,34,38.3,eligible
01,Alabama,GT-DeepCOVID,206,174,34,38.3,eligible
01,Alabama,IHME-CurveFit,147,174,34,38.3,eligible
01,Alabama,JHU_IDD-CovidSP,99,174,34,38.3,eligible
01,Alabama,JHUAPL-Bucky,134,174,34,38.3,eligible
01,Alabama,JHUAPL-Gecko,108,174,34,38.3,eligible
01,Alabama,Karlen-pypm,102,174,34,38.3,eligible
01,Alabama,LANL-GrowthRate,77,174,34,38.3,eligible
01,Alabama,MOBS-GLEAM_COVID,194,174,34,38.3,eligible
01,Alabama,USC-SI_kJalpha,148,174,34,38.3,eligible
02,Alaska,Covid19Sim-Simulator,5,4,1.4,-1.8,eligible
02,Alaska,CU-select,2,4,1.4,-1.8,eligible
02,Alaska,Google_Harvard-CPF,3,4,1.4,-1.8,eligible
02,Alaska,GT-DeepCOVID,4,4,1.4,-1.8,eligible
02,Alaska,IHME-CurveFit,4,4,1.4,-1.8,eligible
02,Alaska,JHU_IDD-CovidSP,5,4,1.4,-1.8,eligible
02,Alaska,JHUAPL-Bucky,6,4,1.4,-1.8,eligible
02,Alaska,JHUAPL-Gecko,4,4,1.4,-1.8,eligible
02,Alaska,Karlen-pypm,2,4,1.4,-1.8,eligible
02,Alaska,LANL-GrowthRate,2,4,1.4,-1.8,eligible
02,Alaska,MOBS-GLEAM_COVID,3,4,1.4,-1.8,eligible
02,Alaska,USC-SI_kJalpha,3,4,1.4,-1.8,eligible
04,Arizona,Covid19Sim-Simulator,413,252,46.9,64,eligible
04,Arizona,CU-select,223,252,46.9,64,eligible
04,Arizona,Google_Harvard-CPF,153,252,46.9,64,eligible
04,Arizona,IHME-CurveFit,199,252,46.9,64,eligible
04,Arizona,JHU_IDD-CovidSP,153,252,46.9,64,eligible
04,Arizona,JHUAPL-Bucky,164,252,46.9,64,eligible
04,Arizona,JHUAPL-Gecko,138,252,46.9,64,eligible
04,Arizona,Karlen-pypm,155,252,46.9,64,eligible
04,Arizona,LANL-GrowthRate,104,252,46.9,64,eligible
04,Arizona,MOBS-GLEAM_COVID,219,252,46.9,64,eligible
04,Arizona,USC-SI_kJalpha,209,252,46.9,64,eligible
05,Arkansas,Covid19Sim-Simulator,108,93,13.3,40.2,eligible
05,Arkansas,CU-select,95,93,13.3,40.2,eligible
05,Arkansas,GT-DeepCOVID,77,93,13.3,40.2,eligible
05,Arkansas,IHME-CurveFit,66,93,13.3,40.2,eligible
05,Arkansas,JHU_IDD-CovidSP,69,93,13.3,40.2,eligible
05,Arkansas,JHUAPL-Bucky,87,93,13.3,40.2,eligible
05,Arkansas,JHUAPL-Gecko,66,93,13.3,40.2,eligible
05,Arkansas,Karlen-pypm,70,93,13.3,40.2,eligible
05,Arkansas,LANL-GrowthRate,47,93,13.3,40.2,eligible
05,Arkansas,MOBS-GLEAM_COVID,71,93,13.3,40.2,eligible
05,Arkansas,USC-SI_kJalpha,88,93,13.3,40.2,eligible
06,California,CU-select,840,911,174.6,212.4,eligible
06,California,IHME-CurveFit,1090,911,174.6,212.4,eligible
06,California,JHU_IDD-CovidSP,816,911,174.6,212.4,eligible
06,California,JHUAPL-Bucky,868,911,174.6,212.4,eligible
06,California,JHUAPL-Gecko,481,911,174.6,212.4,eligible
06,California,Karlen-pypm,661,911,174.6,212.4,eligible
06,California,LANL-GrowthRate,477,911,174.6,212.4,eligible
06,California,MOBS-GLEAM_COVID,993,911,174.6,212.4,eligible
06,California,USC-SI_kJalpha,639,911,174.6,212.4,eligible
08,Colorado,Covid19Sim-Simulator,86,79,14.9,18.9,eligible
08,Colorado,CU-select,83,79,14.9,18.9,eligible
08,Colorado,Google_Harvard-CPF,60,79,14.9,18.9,eligible
08,Colorado,GT-DeepCOVID,70,79,14.9,18.9,eligible
08,Colorado,IHME-CurveFit,22,79,14.9,18.9,eligible
08,Colorado,JHU_IDD-CovidSP,81,79,14.9,18.9,eligible
08,Colorado,JHUAPL-Bucky,65,79,14.9,18.9,eligible
08,Colorado,JHUAPL-Gecko,56,79,14.9,18.9,eligible
08,Colorado,Karlen-pypm,59,79,14.9,18.9,eligible
08,Colorado,LANL-GrowthRate,57,79,14.9,18.9,eligible
08,Colorado,MOBS-GLEAM_COVID,73,79,14.9,18.9,eligible
08,Colorado,USC-SI_kJalpha,70,79,14.9,18.9,eligible
09,Connecticut,Covid19Sim-Simulator,106,94,17.4,24.6,eligible
09,Connecticut,CU-select,86,94,17.4,24.6,eligible
09,Connecticut,Google_Harvard-CPF,32,94,17.4,24.6,eligible
09,Connecticut,GT-DeepCOVID,106,94,17.4,24.6,eligible
09,Connecticut,IHME-CurveFit,28,94,17.4,24.6,eligible
09,Connecticut,JHU_IDD-CovidSP,77,94,17.4,24.6,eligible
09,Connecticut,JHUAPL-Bucky,61,94,17.4,24.6,eligible
09,Connecticut,JHUAPL-Gecko,69,94,17.4,24.6,eligible
09,Connecticut,Karlen-pypm,58,94,17.4,24.6,eligible
09,Connecticut,LANL-GrowthRate,48,94,17.4,24.6,eligible
09,Connecticut,MOBS-GLEAM_COVID,93,94,17.4,24.6,eligible
09,Connecticut,USC-SI_kJalpha,79,94,17.4,24.6,eligible
10,Delaware,Covid19Sim-Simulator,41,29,7.4,-0.3,eligible
10,Delaware,CU-select,22,29,7.4,-0.3,eligible
10,Delaware,Google_Harvard-CPF,7,29,7.4,-0.3,eligible
10,Delaware,GT-DeepCOVID,38,29,7.4,-0.3,eligible
10,Delaware,IHME-CurveFit,12,29,7.4,-0.3,eligible
10,Delaware,JHU_IDD-CovidSP,17,29,7.4,-0.3,eligible
10,Delaware,JHUAPL-Bucky,17,29,7.4,-0.3,eligible
10,Delaware,JHUAPL-Gecko,24,29,7.4,-0.3,eligible
10,Delaware,Karlen-pypm,20,29,7.4,-0.3,eligible
10,Delaware,LANL-GrowthRate,17,29,7.4,-0.3,eligible
10,Delaware,MOBS-GLEAM_COVID,24,29,7.4,-0.3,eligible
10,Delaware,USC-SI_kJalpha,23,29,7.4,-0.3,eligible
12,Florida,Covid19Sim-Simulator,776,719,81.1,394.7,eligible
12,Florida,CU-select,686,719,81.1,394.7,eligible
12,Florida,GT-DeepCOVID,809,719,81.1,394.7,eligible
12,Florida,IHME-CurveFit,407,719,81.1,394.7,eligible
12,Florida,JHU_IDD-CovidSP,544,719,81.1,394.7,eligible
12,Florida,JHUAPL-Bucky,517,719,81.1,394.7,eligible
12,Florida,JHUAPL-Gecko,612,719,81.1,394.7,eligible
12,Florida,Karlen-pypm,552,719,81.1,394.7,eligible
12,Florida,LANL-GrowthRate,470,719,81.1,394.7,eligible
12,Florida,MOBS-GLEAM_COVID,804,719,81.1,394.7,eligible
12,Florida,USC-SI_kJalpha,659,719,81.1,394.7,eligible
13,Georgia,Covid19Sim-Simulator,586,418,52,210.2,eligible
13,Georgia,CU-select,390,418,52,210.2,eligible
13,Georgia,GT-DeepCOVID,408,418,52,210.2,eligible
13,Georgia,IHME-CurveFit,268,418,52,210.2,eligible
13,Georgia,JHU_IDD-CovidSP,215,418,52,210.2,eligible
13,Georgia,JHUAPL-Bucky,312,418,52,210.2,eligible
13,Georgia,JHUAPL-Gecko,344,418,52,210.2,eligible
13,Georgia,Karlen-pypm,289,418,52,210.2,eligible
13,Georgia,LANL-GrowthRate,223,418,52,210.2,eligible
13,Georgia,MOBS-GLEAM_COVID,465,418,52,210.2,eligible
13,Georgia,USC-SI_kJalpha,361,418,52,210.2,eligible
15,Hawaii,Covid19Sim-Simulator,9,4,1.3,-1.5,eligible
15,Hawaii,CU-select,5,4,1.3,-1.5,eligible
15,Hawaii,Google_Harvard-CPF,2,4,1.3,-1.5,eligible
15,Hawaii,IHME-CurveFit,4,4,1.3,-1.5,eligible
15,Hawaii,JHUAPL-Gecko,2,4,1.3,-1.5,eligible
15,Hawaii,Karlen-pypm,3,4,1.3,-1.5,eligible
15,Hawaii,LANL-GrowthRate,2,4,1.3,-1.5,eligible
15,Hawaii,MOBS-GLEAM_COVID,8,4,1.3,-1.5,eligible
15,Hawaii,USC-SI_kJalpha,3,4,1.3,-1.5,eligible
16,Idaho,Covid19Sim-Simulator,26,22,4.2,5.1,eligible
16,Idaho,CU-select,16,22,4.2,5.1,eligible
16,Idaho,Google_Harvard-CPF,16,22,4.2,5.1,eligible
16,Idaho,GT-DeepCOVID,24,22,4.2,5.1,eligible
16,Idaho,IHME-CurveFit,8,22,4.2,5.1,eligible
16,Idaho,JHU_IDD-CovidSP,20,22,4.2,5.1,eligible
16,Idaho,JHUAPL-Bucky,13,22,4.2,5.1,eligible
16,Idaho,JHUAPL-Gecko,20,22,4.2,5.1,eligible
16,Idaho,Karlen-pypm,12,22,4.2,5.1,eligible
16,Idaho,LANL-GrowthRate,10,22,4.2,5.1,eligible
16,Idaho,MOBS-GLEAM_COVID,16,22,4.2,5.1,eligible
16,Idaho,USC-SI_kJalpha,17,22,4.2,5.1,eligible
17,Illinois,CU-select,185,187,29.9,67.9,eligible
17,Illinois,GT-DeepCOVID,245,187,29.9,67.9,eligible
17,Illinois,IHME-CurveFit,151,187,29.9,67.9,eligible
17,Illinois,JHU_IDD-CovidSP,169,187,29.9,67.9,eligible
17,Illinois,JHUAPL-Bucky,131,187,29.9,67.9,eligible
17,Illinois,JHUAPL-Gecko,124,187,29.9,67.9,eligible
17,Illinois,Karlen-pypm,158,187,29.9,67.9,eligible
17,Illinois,LANL-GrowthRate,114,187,29.9,67.9,eligible
17,Illinois,MOBS-GLEAM_COVID,181,187,29.9,67.9,eligible
17,Illinois,USC-SI_kJalpha,151,187,29.9,67.9,eligible
18,Indiana,Covid19Sim-Simulator,204,120,35,-20.1,eligible
18,Indiana,CU-select,128,120,35,-20.1,eligible
18,Indiana,Google_Harvard-CPF,82,120,35,-20.1,eligible
18,Indiana,GT-DeepCOVID,107,120,35,-20.1,eligible
18,Indiana,IHME-CurveFit,55,120,35,-20.1,eligible
18,Indiana,JHU_IDD-CovidSP,97,120,35,-20.1,eligible
18,Indiana,JHUAPL-Bucky,80,120,35,-20.1,eligible
18,Indiana,JHUAPL-Gecko,62,120,35,-20.1,eligible
18,Indiana,Karlen-pypm,85,120,35,-20.1,eligible
18,Indiana,LANL-GrowthRate,74,120,35,-20.1,eligible
18,Indiana,MOBS-GLEAM_COVID,103,120,35,-20.1,eligible
18,Indiana,USC-SI_kJalpha,94,120,35,-20.1,eligible
19,Iowa,Covid19Sim-Simulator,47,42,10,2.5,eligible
19,Iowa,CU-select,35,42,10,2.5,eligible
19,Iowa,Google_Harvard-CPF,14,42,10,2.5,eligible
19,Iowa,GT-DeepCOVID,51,42,10,2.5,eligible
19,Iowa,IHME-CurveFit,37,42,10,2.5,eligible
19,Iowa,JHU_IDD-CovidSP,50,42,10,2.5,eligible
19,Iowa,JHUAPL-Bucky,42,42,10,2.5,eligible
19,Iowa,JHUAPL-Gecko,37,42,10,2.5,eligible
19,Iowa,Karlen-pypm,32,42,10,2.5,eligible
19,Iowa,LANL-GrowthRate,27,42,10,2.5,eligible
19,Iowa,MOBS-GLEAM_COVID,35,42,10,2.5,eligible
19,Iowa,USC-SI_kJalpha,34,42,10,2.5,eligible
20,Kansas,Covid19Sim-Simulator,69,61,14.6,2.8,eligible
20,Kansas,CU-select,53,61,14.6,2.8,eligible
20,Kansas,Google_Harvard-CPF,49,61,14.6,2.8,eligible
20,Kansas,GT-DeepCOVID,60,61,14.6,2.8,eligible
20,Kansas,IHME-CurveFit,110,61,14.6,2.8,eligible
20,Kansas,JHU_IDD-CovidSP,53,61,14.6,2.8,eligible
20,Kansas,JHUAPL-Bucky,43,61,14.6,2.8,eligible
20,Kansas,JHUAPL-Gecko,43,61,14.6,2.8,eligible
20,Kansas,Karlen-pypm,34,61,14.6,2.8,eligible
20,Kansas,LANL-GrowthRate,24,61,14.6,2.8,eligible
20,Kansas,MOBS-GLEAM_COVID,70,61,14.6,2.8,eligible
20,Kansas,USC-SI_kJalpha,56,61,14.6,2.8,eligible
21,Kentucky,Covid19Sim-Simulator,187,260,40.6,97.9,eligible
21,Kentucky,CU-select,263,260,40.6,97.9,eligible
21,Kentucky,GT-DeepCOVID,305,260,40.6,97.9,eligible
21,Kentucky,JHU_IDD-CovidSP,111,260,40.6,97.9,eligible
21,Kentucky,JHUAPL-Bucky,140,260,40.6,97.9,eligible
21,Kentucky,JHUAPL-Gecko,193,260,40.6,97.9,eligible
21,Kentucky,Karlen-pypm,201,260,40.6,97.9,eligible
