location,location_abbreviation,date,issue_date,reported_inc,imputed_inc,absolute_size,relative_size,reviewers_marked_outlier,num_reviewers_marked_outlier,comments_reviewer1,comments_reviewer2
10,DE,2020-06-27,2020-10-11,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-10-18,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-10-25,73,15,58,3.866666667,ELR,1,,
10,DE,2020-06-27,2020-11-01,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-11-08,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-11-15,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-11-22,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-11-29,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-12-06,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-12-13,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-12-20,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-12-27,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-01-03,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-01-10,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-01-17,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-01-24,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-01-31,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2021-02-07,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-07-25,2020-07-26,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-08-02,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-08-09,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-08-16,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-08-23,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-08-30,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-09-06,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-09-13,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-09-20,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-09-27,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-10-04,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-10-04,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-10-11,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-10-18,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-10-25,56,6,50,8.333333333,ELR,1,,
10,DE,2020-07-25,2020-11-01,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-11-08,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-11-15,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-11-22,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-11-29,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-12-06,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-12-13,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-12-20,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2020-12-27,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-01-03,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-01-10,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-01-17,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-01-24,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-01-31,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2020-07-25,2021-02-07,56,6,50,8.333333333,MWZ;ELR,2,,
10,DE,2021-02-06,2021-02-07,121,45,76,1.688888889,MWZ;ELR,2,,
13,GA,2020-11-07,2020-11-15,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-11-22,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-11-29,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-12-06,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-12-13,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-12-20,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2020-12-27,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-01-03,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-01-10,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-01-17,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-01-24,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-01-31,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-02-07,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-02-14,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-02-21,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-02-28,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-03-07,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-03-14,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-03-21,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-03-28,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-04-04,668,171,497,2.906432749,MWZ;ELR,2,,
13,GA,2020-11-07,2021-04-11,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-04-18,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-04-25,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-05-02,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-05-09,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-05-16,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-05-23,668,171,497,2.906432749,ELR,1,,
13,GA,2020-11-07,2021-05-30,668,171,497,2.906432749,ELR;EYC,2,,
13,GA,2020-11-07,2021-06-06,668,171,497,2.906432749,APG;MWZ,2,,
66,GU,2021-05-22,2021-05-22,,,,,EYC,1,,
66,GU,2021-05-22,2021-05-23,-1,1,2,2,ELR,1,,
66,GU,2021-05-22,2021-05-30,-1,1,2,2,ELR,1,,
66,GU,2021-05-22,2021-06-06,-1,1,2,2,APG;MWZ,2,,
15,HI,2021-01-30,2021-01-31,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-02-07,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-02-14,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-02-21,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-02-28,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-03-07,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-03-14,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-03-21,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-03-28,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-04-04,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-04-11,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-04-18,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-04-25,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-05-02,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-05-09,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-05-16,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-05-23,71,16,55,3.4375,MWZ;ELR,2,,
15,HI,2021-01-30,2021-05-30,71,16,55,3.4375,ELR;EYC,2,,
15,HI,2021-01-30,2021-06-06,71,16,55,3.4375,APG;MWZ,2,,
19,IA,2021-02-06,2021-02-07,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-02-14,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-02-21,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-02-28,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-03-07,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-03-14,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-03-21,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-03-28,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-04-04,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-04-11,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-04-18,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-04-25,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-05-02,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-05-09,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-05-16,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-05-23,457,165,292,1.76969697,MWZ;ELR,2,,
19,IA,2021-02-06,2021-05-30,457,165,292,1.76969697,ELR,1,,
19,IA,2021-02-06,2021-06-06,457,165,292,1.76969697,APG;MWZ,2,,
17,IL,2020-07-11,2020-07-12,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-07-19,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-07-26,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-08-02,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-08-09,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-08-16,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-08-23,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-08-30,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-09-06,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-09-13,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-09-20,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-09-27,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-10-04,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-10-11,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-10-18,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-10-25,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-11-01,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-11-08,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-11-15,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-11-22,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-11-29,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-12-06,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-12-13,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-12-20,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2020-12-27,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-01-03,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-01-10,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-01-17,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-01-24,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-01-31,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-02-07,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-02-14,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-02-21,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-02-28,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-03-07,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-03-14,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-03-21,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-03-28,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-04-04,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-04-11,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-04-18,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-04-25,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-05-02,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-05-09,355,141,214,1.517730496,MWZ;ELR,2,,
17,IL,2020-07-11,2021-05-16,355,141,214,1.517730496,ELR,1,,
17,IL,2020-07-11,2021-05-23,355,141,214,1.517730496,ELR,1,,
17,IL,2020-07-11,2021-05-30,355,141,214,1.517730496,ELR;EYC,2,,
17,IL,2020-07-11,2021-06-06,355,141,214,1.517730496,APG;MWZ,2,,
18,IN,2021-02-06,2021-02-07,1785,274,1511,5.51459854,MWZ;ELR,2,,
18,IN,2021-02-06,2021-02-14,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-02-21,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-02-28,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-03-07,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-03-14,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-03-21,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-03-28,490,312,178,0.5705128205,MWZ,1,,
18,IN,2021-02-06,2021-04-04,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-04-11,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-04-18,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-04-25,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-05-02,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-05-09,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-05-16,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-05-23,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-05-30,490,312,178,0.5705128205,MWZ;ELR,2,,
18,IN,2021-02-06,2021-06-06,490,312,178,0.5705128205,MWZ;ELR,2,,
20,KS,2020-12-26,2020-12-27,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-01-03,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-01-10,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-01-17,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-01-24,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-01-31,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-02-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-02-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-02-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-02-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-03-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-03-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-03-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-03-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-04-04,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-04-11,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-04-18,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-04-25,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-05-02,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-05-09,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-05-16,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-05-23,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-05-30,167,274,107,0.3905109489,MWZ,1,,
20,KS,2020-12-26,2021-06-06,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-01-03,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-01-10,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-01-17,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-01-24,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-01-31,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-02-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-02-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-02-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-02-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-03-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-03-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-03-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-03-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-04-04,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-04-11,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-04-18,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-04-25,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-05-02,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-05-09,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-05-16,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-05-23,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-05-30,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-02,2021-06-06,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-01-10,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-01-17,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-01-24,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-01-31,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-02-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-02-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-02-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-02-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-03-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-03-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-03-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-03-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-04-04,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-04-11,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-04-18,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-04-25,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-05-02,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-05-09,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-05-16,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-05-23,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-05-30,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-09,2021-06-06,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-01-17,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-01-24,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-01-31,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-02-07,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-02-14,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-02-21,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-02-28,167,274,107,0.3905109489,MWZ,1,,
20,KS,2021-01-16,2021-03-07,167,274,107,0.3905109489,MWZ,1,,
