location,location_abbreviation,date,issue_date,reported_inc,imputed_inc,absolute_size,relative_size,reviewers_marked_outlier,num_reviewers_marked_outlier,comments_reviewer1,comments_reviewer2
05,AR,2020-09-19,2020-09-20,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-09-27,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-10-04,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-10-11,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-10-18,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-10-25,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-11-01,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-11-08,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-11-15,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-11-22,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-11-29,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-12-06,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-12-13,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-12-20,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2020-12-27,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-01-03,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-01-10,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-01-17,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-01-24,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-01-31,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-02-07,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-02-14,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-02-21,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-02-28,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-03-07,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-03-14,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-03-21,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-03-28,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-04-04,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-05-16,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-05-23,212,87,125,1.436781609,ELR,1,,
05,AR,2020-09-19,2021-05-30,212,87,125,1.436781609,EYC,1,,
05,AR,2020-09-19,2021-06-06,212,87,125,1.436781609,APG,1,,
05,AR,2021-03-06,2021-03-07,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-03-14,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-03-21,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-03-28,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-04-04,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-04-11,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-04-18,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-04-25,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-05-02,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-05-09,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-05-16,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-05-23,-120,69,189,2.739130435,MWZ;ELR,2,below 0,
05,AR,2021-03-06,2021-05-30,-120,69,189,2.739130435,EYC,1,,
05,AR,2021-03-06,2021-06-06,-120,69,189,2.739130435,APG;MWZ,2,,
10,DE,2020-06-27,2020-06-28,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-07-05,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-07-12,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-07-19,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-07-26,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-08-02,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-08-09,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-08-16,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-08-23,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-08-30,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-09-06,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-09-13,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-09-20,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-09-27,73,15,58,3.866666667,MWZ;ELR,2,,
10,DE,2020-06-27,2020-10-04,73,15,58,3.866666667,MWZ;ELR,2,,
